student_id,gender,grade_level,gpa_band,admission_subject_group,high_school_subject_orientation,location_type,family_income_level,willing_to_relocate,preferred_study_budget,career_priority,role_model_field,math_skill,language_skill,analytical_skill,creativity,problem_solving,technology_interest,business_interest,finance_interest,social_interest,design_interest,communication_skill,leadership,teamwork_preference,adaptability,stress_tolerance,practical_learning_preference,mentor_need,roadmap_need,guidance_need,learning_motivation,labor_market_awareness,growth_mindset,student_cluster,recommended_major,recommended_courses,recommended_mentor_type,recommended_career_path,data_type,assessment_source,generation_method,generated_version
S0024,Prefer not to say,Grade 12,9.0-10.0,"A01 - Math, Physics, English",STEM-oriented,Urban,High,Undecided,High,Stability,Business,3,3,4,2,3,4,5,3,3,4,3,5,3,3,2,2,2,3,3,2,5,3,Business-Strategic,Business Administration / Quản trị kinh doanh,Management; Marketing Basics; Business Analytics; Project Management,Business Mentor,Business Student → Project/Marketing Intern → Business Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0025,Male,Grade 12,5.0-6.4,Undecided,Arts-Media-oriented,Urban,High,Yes,Medium,Social Impact,Design,3,2,3,5,2,3,4,3,4,4,4,4,1,2,3,4,3,3,3,3,4,4,Creative-Design,Digital Media and UX Design / Truyền thông số & Thiết kế UX,UI/UX Basics; Design Thinking; Content Strategy; Web Design,Design / Product Mentor,Design Assistant → UX/UI Designer → Product Designer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0026,Male,Grade 11,8.0-8.9,"A01 - Math, Physics, English",STEM-oriented,Suburban,Low,No,Low,Salary,Media & Communication,5,3,4,3,5,4,3,4,4,3,4,3,1,2,3,4,3,5,3,3,4,2,Tech-Analytical,Information Technology / Công nghệ thông tin,Python Basics; SQL; Database Systems; Data Analytics; Online Learning Resources,Technology Mentor,IT Student → Junior Developer → Software Engineer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0027,Female,Grade 11,8.0-8.9,"D01 - Math, Literature, English",Language-Media-oriented,Rural,Medium,Yes,Medium,Growth,Technology,3,4,2,5,3,3,3,5,3,5,3,2,4,2,2,4,3,3,4,3,3,3,Creative-Design,Digital Media and UX Design / Truyền thông số & Thiết kế UX,UI/UX Basics; Design Thinking; Content Strategy; Web Design,Design / Product Mentor,Design Student → UI/UX Intern → UX Designer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0028,Male,Grade 11,6.5-7.9,"A01 - Math, Physics, English",STEM-oriented,Rural,Medium,Yes,Low,Salary,Finance,4,3,5,2,5,5,4,4,2,2,2,4,3,3,4,3,5,4,3,4,3,4,Tech-Analytical,FinTech / Công nghệ tài chính,Finance Fundamentals; Excel for Business; SQL; Data Analytics; FinTech Introduction,Finance-Tech Mentor,FinTech Intern → Digital Finance Analyst → FinTech Product Specialist,synthetic,assessment_driven,domain_informed_rules,v1.4
S0029,Male,Grade 12,8.0-8.9,"D01 - Math, Literature, English",Language-Media-oriented,Urban,Medium,Undecided,Medium,Salary,Business,2,3,4,5,4,3,2,3,3,5,2,4,3,3,1,3,4,3,2,2,3,5,Creative-Design,Digital Media and UX Design / Truyền thông số & Thiết kế UX,UI/UX Basics; Design Thinking; Content Strategy; Web Design,Design / Product Mentor,Design Student → UI/UX Intern → UX Designer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0030,Male,Grade 12,6.5-7.9,Undecided,Social-science-oriented,Urban,Medium,Yes,High,Passion,Media & Communication,3,2,3,3,1,3,3,3,4,4,3,2,5,3,3,3,4,4,4,3,3,3,Balanced Explorer,Career Exploration / Định hướng nghề nghiệp,Career Exploration; Basic IT; Communication; Study Planning; Self-Assessment,General Career Mentor,Exploration Stage → Foundation Courses → Major Selection,synthetic,assessment_driven,domain_informed_rules,v1.4
S0031,Male,Grade 11,9.0-10.0,Undecided,Arts-Media-oriented,Rural,Low,Undecided,Medium,Passion,Healthcare,2,3,3,5,1,4,4,1,3,4,2,2,2,4,3,5,4,2,3,3,2,4,Creative-Design,Digital Media and UX Design / Truyền thông số & Thiết kế UX,UI/UX Basics; Design Thinking; Content Strategy; Web Design,Design / Product Mentor,Design Student → UI/UX Intern → UX Designer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0032,Female,Grade 11,8.0-8.9,"B00 - Math, Chemistry, Biology",Natural-science / Healthcare-oriented,Rural,Medium,No,Medium,Social Impact,Healthcare,4,3,5,3,4,5,2,3,3,3,3,2,4,3,4,5,2,2,2,3,2,5,Tech-Analytical,Healthcare / Y - Dược,Biology Basics; Chemistry Basics; Health Science Introduction; Communication; Medical Ethics,Healthcare / Medical Career Mentor,Health Science Student → Clinical / Pharmacy Intern → Healthcare Professional,synthetic,assessment_driven,domain_informed_rules,v1.4
S0033,Male,Grade 11,9.0-10.0,Undecided,Undecided,Urban,Low,Yes,Medium,Salary,Education,2,4,3,3,3,3,3,4,3,3,3,3,3,2,3,4,4,4,4,4,3,2,Balanced Explorer,Career Exploration / Định hướng nghề nghiệp,Career Exploration; Basic IT; Communication; Study Planning; Self-Assessment,General Career Mentor,Exploration Stage → Foundation Courses → Major Selection,synthetic,assessment_driven,domain_informed_rules,v1.4
S0034,Male,Grade 12,8.0-8.9,"D01 - Math, Literature, English",Language-Business-oriented,Urban,High,Yes,Medium,Growth,Education,4,2,5,2,4,3,4,5,4,4,2,2,3,3,5,2,3,2,3,2,3,3,Finance-Oriented,Finance and Banking / Tài chính - Ngân hàng,Accounting Basics; Banking Operations; Financial Analysis; Excel,Finance Mentor,Finance Student → Credit Analyst Intern → Credit/Financial Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0035,Male,Grade 11,8.0-8.9,"A01 - Math, Physics, English",STEM-oriented,Rural,Medium,Yes,Medium,Stability,Technology,4,2,5,3,4,3,5,3,3,5,4,5,2,3,3,3,4,4,3,3,5,5,Business-Strategic,Business Administration / Quản trị kinh doanh,Management; Marketing Basics; Business Analytics; Project Management,Business Mentor,Business Student → Project/Marketing Intern → Business Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0036,Female,Grade 11,5.0-6.4,"D01 - Math, Literature, English",Language-Business-oriented,Rural,Medium,Yes,Medium,Salary,Technology,2,2,4,3,4,3,4,4,3,3,5,5,3,3,3,3,3,4,2,2,5,4,Business-Strategic,Business Administration / Quản trị kinh doanh,Management; Marketing Basics; Business Analytics; Project Management,Business Mentor,Business Student → Project/Marketing Intern → Business Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0037,Male,Grade 12,8.0-8.9,"A01 - Math, Physics, English",STEM-oriented,Urban,Medium,Undecided,Medium,Salary,Business,4,3,4,4,4,3,4,3,3,3,4,5,2,3,3,4,3,4,2,3,5,4,Business-Strategic,Business Administration / Quản trị kinh doanh,Management; Marketing Basics; Business Analytics; Project Management,Business Mentor,Business Student → Project/Marketing Intern → Business Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0038,Female,Grade 12,6.5-7.9,"D01 - Math, Literature, English",Language-Business-oriented,Suburban,Low,Yes,Low,Salary,Finance,5,3,5,5,3,3,5,5,3,3,3,2,2,2,2,3,3,4,2,4,4,4,Finance-Oriented,Finance and Banking / Tài chính - Ngân hàng,Accounting Basics; Banking Operations; Financial Analysis; Excel,Finance Mentor,Finance Student → Credit Analyst Intern → Credit/Financial Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0039,Female,Grade 11,8.0-8.9,"D01 - Math, Literature, English",Language-Media-oriented,Suburban,Medium,Yes,Medium,Passion,Healthcare,2,3,3,5,3,5,3,3,3,4,3,4,4,3,3,5,3,3,3,2,4,5,Creative-Design,Digital Media and UX Design / Truyền thông số & Thiết kế UX,UI/UX Basics; Design Thinking; Content Strategy; Web Design,Design / Product Mentor,Design Student → UI/UX Intern → UX Designer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0040,Female,Grade 11,9.0-10.0,Undecided,Arts-Media-oriented,Suburban,Low,Yes,High,Growth,Media & Communication,3,3,3,5,3,5,3,2,2,4,3,4,3,3,4,5,5,3,3,4,4,5,Creative-Design,Digital Media and UX Design / Truyền thông số & Thiết kế UX,UI/UX Basics; Design Thinking; Content Strategy; Web Design,Design / Product Mentor,Design Student → UI/UX Intern → UX Designer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0041,Male,Grade 12,Below 5.0,Undecided,Social-science-oriented,Suburban,Medium,Yes,High,Passion,Media & Communication,3,4,3,4,4,3,4,4,5,3,4,4,5,2,3,3,4,5,4,3,2,4,Social-Communicative,Human Resource Management / Quản trị nhân lực,Communication; Psychology Basics; HR Management; Career Planning,HR / Career Mentor,HR Student → Training Assistant → HR Specialist,synthetic,assessment_driven,domain_informed_rules,v1.4
S0042,Female,Grade 12,8.0-8.9,"D01 - Math, Literature, English",Law-oriented,Rural,Medium,No,Low,Social Impact,Law,3,5,3,3,3,4,3,3,5,3,4,4,5,2,2,2,5,3,3,3,4,3,Social-Communicative,Law / Luật,Introduction to Law; Critical Thinking; Communication; Civic Education; English for Legal Studies,Law / Public Policy Mentor,Law Student → Legal Intern → Legal Assistant / Public Policy Assistant,synthetic,assessment_driven,domain_informed_rules,v1.4
S0043,Male,Grade 11,9.0-10.0,"A01 - Math, Physics, English",Business-Finance-oriented,Suburban,Medium,Yes,Medium,Stability,Technology,3,4,3,1,4,3,4,4,3,3,3,5,3,3,3,2,2,3,3,3,4,4,Business-Strategic,Business Administration / Quản trị kinh doanh,Management; Marketing Basics; Business Analytics; Project Management,Business Mentor,Business Student → Project/Marketing Intern → Business Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0044,Male,Grade 12,8.0-8.9,"A01 - Math, Physics, English",Natural-science / Healthcare-oriented,Rural,Medium,Yes,Low,Salary,Healthcare,3,4,4,4,5,5,4,3,3,4,3,4,3,4,4,5,3,2,3,2,4,4,Tech-Analytical,Healthcare / Y - Dược,Biology Basics; Chemistry Basics; Health Science Introduction; Communication; Medical Ethics,Healthcare / Medical Career Mentor,Health Science Student → Clinical / Pharmacy Intern → Healthcare Professional,synthetic,assessment_driven,domain_informed_rules,v1.4
S0045,Female,Grade 12,6.5-7.9,"C00 - Literature, History, Geography",Social-science-oriented,Suburban,Low,Yes,Medium,Passion,Technology,3,2,3,3,2,4,4,3,2,5,3,2,4,4,4,4,3,1,3,2,2,4,Creative-Design,Digital Media and UX Design / Truyền thông số & Thiết kế UX,UI/UX Basics; Design Thinking; Content Strategy; Web Design,Design / Product Mentor,Design Student → UI/UX Intern → UX Designer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0046,Female,Grade 12,8.0-8.9,"C00 - Literature, History, Geography",Law-oriented,Suburban,Low,Yes,Medium,Social Impact,Media & Communication,4,4,3,3,4,4,3,3,5,3,5,4,5,3,4,3,5,3,5,3,3,3,Social-Communicative,Communication and Digital Media / Truyền thông & Truyền thông số,Communication; Content Creation; Digital Marketing; Media Planning,Communication / Media Mentor,Content Assistant → Communication Specialist → Digital Media Strategist,synthetic,assessment_driven,domain_informed_rules,v1.4
S0047,Female,Grade 12,8.0-8.9,"A00 - Math, Physics, Chemistry",STEM-oriented,Urban,Medium,Yes,Medium,Passion,Technology,4,3,5,3,4,5,4,3,3,3,3,2,3,2,4,4,3,5,2,2,3,5,Tech-Analytical,Management Information Systems / Hệ thống thông tin quản lý,Python Basics; SQL; Business Analytics; Introduction to AI,Business-Tech Mentor,IT/IM Student → Data Intern → Business/Data Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0048,Male,Grade 11,5.0-6.4,"A00 - Math, Physics, Chemistry",STEM-oriented,Suburban,Medium,No,Medium,Social Impact,Business,5,3,5,3,4,5,4,2,4,4,2,3,3,3,2,3,3,4,3,3,4,2,Tech-Analytical,Management Information Systems / Hệ thống thông tin quản lý,Python Basics; SQL; Business Analytics; Introduction to AI,Business-Tech Mentor,IT/IM Student → Data Intern → Business/Data Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0049,Female,Grade 11,6.5-7.9,"A01 - Math, Physics, English",Natural-science / Healthcare-oriented,Urban,Medium,Undecided,Low,Stability,Healthcare,5,2,4,2,3,5,3,3,3,3,3,2,4,3,4,4,4,4,3,3,3,5,Tech-Analytical,Healthcare / Y - Dược,Biology Basics; Chemistry Basics; Health Science Introduction; Communication; Medical Ethics,Healthcare / Medical Career Mentor,Health Science Student → Clinical / Pharmacy Intern → Healthcare Professional,synthetic,assessment_driven,domain_informed_rules,v1.4
S0050,Male,Grade 12,9.0-10.0,"A00 - Math, Physics, Chemistry",STEM-oriented,Urban,Medium,Undecided,Medium,Stability,Business,5,3,5,3,4,4,3,3,4,3,3,3,3,2,5,4,4,1,4,3,4,3,Tech-Analytical,Information Technology / Công nghệ thông tin,Python Basics; SQL; Database Systems; Data Analytics,Technology Mentor,IT Student → Junior Developer → Software Engineer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0051,Female,Grade 12,6.5-7.9,Undecided,Social-science-oriented,Suburban,Low,Undecided,Medium,Stability,Technology,3,3,3,4,3,3,4,3,5,3,5,4,4,4,5,4,4,3,5,2,3,2,Social-Communicative,Human Resource Management / Quản trị nhân lực,Communication; Psychology Basics; HR Management; Career Planning,HR / Career Mentor,HR Student → Training Assistant → HR Specialist,synthetic,assessment_driven,domain_informed_rules,v1.4
S0052,Female,Grade 12,6.5-7.9,"C00 - Literature, History, Geography",Law-oriented,Urban,High,No,High,Growth,Law,3,3,4,3,5,4,4,4,4,2,4,5,3,4,4,3,3,3,2,2,5,4,Business-Strategic,Law / Luật,Introduction to Law; Critical Thinking; Communication; Civic Education; English for Legal Studies,Law / Public Policy Mentor,Law Student → Legal Intern → Legal Assistant / Public Policy Assistant,synthetic,assessment_driven,domain_informed_rules,v1.4
S0053,Female,Grade 12,6.5-7.9,"D01 - Math, Literature, English",Language-oriented,Suburban,Medium,No,Low,Growth,Media & Communication,2,2,3,2,4,4,3,5,5,3,3,5,3,2,3,5,5,4,4,4,4,3,Social-Communicative,Education and Counseling / Giáo dục & Tư vấn học đường,Communication; Psychology Basics; Education Studies; Career Planning; Online Learning Resources,Education / Counseling Mentor,Education Student → Teaching Assistant → Education Consultant,synthetic,assessment_driven,domain_informed_rules,v1.4
S0054,Female,Grade 12,8.0-8.9,"A01 - Math, Physics, English",Natural-science / Healthcare-oriented,Urban,Low,Undecided,Low,Growth,Healthcare,4,3,4,3,3,5,2,2,3,4,4,2,2,4,3,4,3,3,3,2,3,4,Tech-Analytical,Healthcare / Y - Dược,Biology Basics; Chemistry Basics; Health Science Introduction; Communication; Medical Ethics,Healthcare / Medical Career Mentor,Health Science Student → Clinical / Pharmacy Intern → Healthcare Professional,synthetic,assessment_driven,domain_informed_rules,v1.4
S0055,Male,Grade 12,8.0-8.9,"A00 - Math, Physics, Chemistry",STEM-oriented,Rural,Low,No,Medium,Growth,Education,2,3,4,3,4,4,5,3,3,3,4,4,2,3,2,4,2,3,2,4,4,5,Business-Strategic,Business Administration / Quản trị kinh doanh,Management; Marketing Basics; Business Analytics; Project Management,Business Mentor,Business Student → Project/Marketing Intern → Business Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0056,Male,Grade 12,9.0-10.0,"C00 - Literature, History, Geography",Social-science-oriented,Suburban,Medium,No,Medium,Stability,Technology,2,4,2,5,2,3,4,3,4,3,5,3,5,5,4,2,4,5,3,4,4,3,Social-Communicative,Human Resource Management / Quản trị nhân lực,Communication; Psychology Basics; HR Management; Career Planning,HR / Career Mentor,HR Student → Training Assistant → HR Specialist,synthetic,assessment_driven,domain_informed_rules,v1.4
S0057,Male,Grade 11,8.0-8.9,"C00 - Literature, History, Geography",Law-oriented,Urban,Low,Yes,Medium,Growth,Media & Communication,3,5,3,3,3,2,3,2,5,2,5,2,4,4,2,3,5,3,5,3,2,3,Social-Communicative,Communication and Digital Media / Truyền thông & Truyền thông số,Communication; Content Creation; Digital Marketing; Media Planning,Communication / Media Mentor,Content Assistant → Communication Specialist → Digital Media Strategist,synthetic,assessment_driven,domain_informed_rules,v1.4
S0058,Male,Grade 12,5.0-6.4,"A01 - Math, Physics, English",STEM-oriented,Urban,Low,Yes,Low,Growth,Business,5,3,5,2,4,4,3,2,2,4,4,3,2,3,4,4,5,4,3,3,3,4,Tech-Analytical,Information Technology / Công nghệ thông tin,Python Basics; SQL; Database Systems; Data Analytics,Technology Mentor,IT Student → Junior Developer → Software Engineer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0059,Male,Grade 11,8.0-8.9,"D01 - Math, Literature, English",Language-Media-oriented,Urban,High,Yes,High,Growth,Finance,5,4,4,2,2,3,3,3,3,5,3,4,3,3,5,3,3,3,2,4,4,3,Finance-Oriented,Finance and Banking / Tài chính - Ngân hàng,Accounting Basics; Banking Operations; Financial Analysis; Excel,Finance Mentor,Finance Student → Credit Analyst Intern → Credit/Financial Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
